Model, Consumption, Emissions, Classification
Porsche 718 Boxster Auto. Neu. 1,6.9,158,D	
Porsche 718 Boxster Auto. Neu. 2,7,160,D	
Porsche 718 Boxster GTS Auto,8.3,188,F	
Porsche 718 Boxster GTS Auto,8.2,186,F	
Porsche 718 Boxster GTS Manual,9.1,207,G	
Porsche 718 Boxster GTS Manual,9.1,205,G	
Porsche 718 Boxster Man. Neu. 1,7.4,168,E	
Porsche 718 Boxster Man. Neu. 2,7.5,170,E	
Porsche 718 Boxster S Auto. Neu. 1,7.3,167,D	
Porsche 718 Boxster S Auto. Neu. 2,7.4,169,E	
Porsche 718 Boxster S Man. Neu. 1,8.1,184,F	
Porsche 718 Boxster S Man. Neu. 2,8.2,186,F	
Porsche 718 Cayman Auto. Neu. 1,6.9,158,D	
Porsche 718 Cayman Auto. Neu. 2,7,160,D	
Porsche 718 Cayman GTS Auto,8.2,186,F	
Porsche 718 Cayman GTS Auto.,8.3,188,F	
Porsche 718 Cayman GTS Manual.,9,205,G	
Porsche 718 Cayman GTS Manual.,9.1,207,G	
Porsche 718 Cayman Man. Neu. 1,7.4,168,E	
Porsche 718 Cayman Man. Neu. 2,7.5,170,E	
Porsche 718 Cayman S Auto. Neu 1,7.3,167,D	
Porsche 718 Cayman S Auto. Neu 2,7.4,169,E	
Porsche 718 Cayman S Man. Neu 1,8.1,184,F	
Porsche 718 Cayman S Man. Neu 2,8.2,186,F	
Porsche 911 Carrera Cabrio. Aut.,7.5,172,D	
Porsche 911 Carrera Cabrio. Man.,8.5,195,F	
Porsche 911 Carrera Coupe. Aut.,7.4,169,D	
Porsche 911 Carrera Coupe. Man.,8.3,190,E	
Porsche 911 Carrera 4 Cabrio. Aut.,7.9,182,D	
Porsche 911 Carrera 4 Cabrio. Man.,8.9,206,F	
Porsche 911 Carrera 4 Coupe. Aut.,7.7,177,D	
Porsche 911 Carrera 4 Coupe. Man.,8.7,201,F	
Porsche 911 Carrera 4 GTS Auto.,8.5,192,E	
Porsche 911 Carrera 4 GTS cabrio A,8.7,196,E	
Porsche 911 Carrera 4 GTS cabrio M,9.7,220,G	
Porsche 911 Carrera 4 GTS Manual,9.5,216,F	
Porsche 911 Carrera 4S Auto. Kit motor,8.5,192,F	
Porsche 911 Carrera 4S Cabrio Auto.,8, 184,E	
Porsche 911 Carrera 4S Cabrio Man.,9, 208,F	
Porsche 911 Carrera 4S Cabrio Auto. Kit,8.7,196,F	
Porsche 911 Carrera 4S Cabrio man. Kit,9.7,220,G	
Porsche 911 Carrera 4S Coupe Man,8.9,204,F	
Porsche 911 Carrera 4S Coupe. Aut.,7.9,180,D	
Porsche 911 Carrera 4S Manual Kit motor,9.5,216,G	
Porsche 911 Carrera GTS Auto.,8.3,188,E	
Porsche 911 Carrera GTS Cabrio Auto.,8.4,190,E	
Porsche 911 Carrera GTS Cabrio. Manual,9.4,214,F	
Porsche 911 Carrera GTS Manual,9.4,212,F	
Porsche 911 Carrera S Auto. Kit motor,8.3,188,E	
Porsche 911 Carrera S Cabrio Auto. Kit,8.4,190,E	
Porsche 911 Carrera S Cabrio man. Kit,9.4,214,G	
Porsche 911 Carrera S Cabrio. Aut.,7.8,178,E	
Porsche 911 Carrera S Cabrio. Man.,8.8,202,F	
Porsche 911 Carrera S Coupe. Aut.,7.7,174,E	
Porsche 911 Carrera S Coupe. Man.,8.7,199,F	
Porsche 911 Carrera S Manual Kit motor,9.4,212,G	
Porsche 911 Carrera T Auto.,8.5,193,F	
Porsche 911 Carrera T Manual,9.5,215,G	
Porsche 911 GT2 RS Manual,11.8,269,G	
Porsche 911 GT3 Automatico,12.7,288,G	
Porsche 911 GT3 Manual,12.9,290,G	
Porsche 911 GT3 RS,12.8,291,G	
Porsche 911 GT3 Touring,13.3,302,G	
Porsche 911 Targa 4 Auto.,7.9,182,D	
Porsche 911 Targa 4 GTS Auto.,8.7,196,E	
Porsche 911 Targa 4 GTS Manual,9.7,220,G	
Porsche 911 Targa 4 Man.,8.9,206,F	
Porsche 911 Targa 4S Auto.,8,184,E	
Porsche 911 Targa 4S Auto. Kit motor,8.7,196,F	
Porsche 911 Targa 4S Man.,9,208,F	
Porsche 911 Targa 4S Manual Kit motor,9.7,220,G	
Porsche 911 Turbo Cabrio.,9.3,216,F	
Porsche 911 Turbo Coupe,9.1,212,F	
Porsche 911 Turbo S Cabrio.,9.3,216,F	
Porsche 911 Turbo S Coupe,9.1,212,F	
Porsche 911 Turbo S Coupe,9.1,212,F	
Porsche Cayenne Auto.,9.2,209,D	
Porsche Cayenne Auto.,9,205,C	
Porsche Cayenne Diesel 18"-20",6.8,179,D	
Porsche Cayenne Diesel 19"-21",6.6,173,D	
Porsche Cayenne S Auto.,9.4,213,D	
Porsche Cayenne S Auto.,9.2,209,D	
Porsche Cayenne S E-Hybrid neu. 1,3.2,72,A	
Porsche Cayenne S E-Hybrid neu. 2,3.4,78,A	
Porsche Cayenne Turbo Auto.,11.9,272,G	
Porsche Cayenne Turbo Auto.,11.7,267,F	
Porsche Macan GTS Auto. 20",9,212,E	
Porsche Macan GTS Auto. 21",9.2,215,E	
Porsche Macan GTS Neum. 19",8.8,207,D	
Porsche Macan GTS Neum. 21",8.9,210,E	
Porsche Macan Neum. 1,7.2,167,C	
Porsche Macan Neum. 2,7.3,168,C	
Porsche Macan Neum. 3,7.3,170,C	
Porsche Macan Neum. 4,7.4,172,C	
Porsche Macan S Diesel Neu 19"-TT,6.1,159,D	
